"community","avg_inner_edge_weight"
"18404","1"
"19615","1"
"19211","1"
"12240","1"
"5951","1"
"11899","1"
"4892","1"
"4865","1.6"
"19965","1"
"18942","1"
"13308","1"
"3753","1"
"5278","1"
"26299","1"
"23033","1"
"12662","1"
"18269","1"
"11603","1"
"4973","2"
"2021","1"
"25967","1"
"21912","1"
"18278","2"
"4982","1"
"4641","1"
"33010","1"
"6166","1"
"27187","1"
"20243","1"
"227","1.25"
"3627","1"
"17704","1"
"23652","1"
"19570","1"
"8454","1"
"8795","2"
"17713","1"
"11083","1"
"19893","2"
"11549","1"
"1833","1"
"20306","1"
"12985","1"
"18906","1"
"21113","1"
"12276","1"
"442","1.6666666666666667"
"25608","1"
"18260","5"
"11971","1"
"14178","2"
"7862","1"
"3062","2"
"514","1"
"14250","1"
"14905","1"
"7871","1"
"6157","1"
"6812","1"
"182","2"
"1707","1"
"21203","1.1666666666666667"
"6911","1"
"6229","1"
"13173","3"
"2802","1"
"6139","1"
"1743","1.8333333333333333"
"8750","5"
"1402","2"
"1061","1"
"4372","3"
"19875","1"
"12186","3"
"2156","1"
"1815","2.5"
"13281","1"
"13595","1"
"33279","1"
"26990","1"
"3349","1"
"5978","2"
"1492","1"
"496","1"
"1151","1"
"810","1"
"469","1"
"28865","1"
"18969","1"
"20835","1"
"7853","1"
"16008","1"
"32301","1"
"2030","2"
"24926","1"
"1689","1"
"23392","1"
"6525","1"
"10132","1"
"577","1"
"6184","1"
"2757","1"
"28201","1"
"13909","1"
"13882","1"
"15434","1"
"5511","1"
"1770","1"
"1052","1"
"22477","1"
"6947","1"
"8813","1"
"15075","1"
"8472","2"
"7754","1"
"1097","1"
"15515","1"
"9163","1.2"
"1447","1"
"4399","1"
"29502","1"
"14842","2"
"1519","1"
"801","1"
"460","1"
"29170","1"
"10114","1"
"16717","1"
"12635","1"
"6821","1"
"3394","1"
"8687","1"
"1680","1"
"20808","2"
"10096","2"
"19005","1"
"1761","1"
"34212","1"
"4282","1"
"3941","1"
"23096","1"
"18359","1"
"5036","2"
"8777","1"
"12043","1"
"2147","1"
"9988","1"
"29798","1"
"11397","1"
"7790","1"
"10652","1"
"4049","1"
"24729","1"
"25043","1"
"21122","1"
"1510","1"
"11872","2"
"3376","1"
"37038","1"
"10419","1"
"23724","1"
"2057","1"
"5323","1"
"11271","5"
"30112","1"
"4264","10"
"30426","1"
"31637","2"
"18996","1"
"11621","1"
"4677","1"
"31619","3"
"25671","1"
"24612","1"
"11038","1"
"17641","1"
"3663","1"
"23159","1"
"236","1"
"11702","1.5"
"10365","1"
"6624","1"
"4013","1"
"31685","1"
"678","1"
"2634","2"
"22103","1"
"777","1"
"12198","1"
"2302","1"
"17716","1"
"21116","1"
"17375","2"
"30330","1"
"2715","2"
"28159","1"
"10072","2"
"15706","1"
"2724","4"
"9013","3"
"3379","1"
"1297","2"
"15715","1"
"2392","1"
"30761","1"
"6124","1"
"9435","1"
"8753","1"
"3585","1"
"2930","1"
"33506","1"
"18003","1"
"6887","1"
"2939","1"
"17671","1"
"21412","1"
"23619","1"
"16675","1"
"9641","1"
"3693","1.4285714285714286"
"1952","1"
"16343","1"
"12916","1"
"9650","1"
"5227","1"
"20093","1"
"19277","1"
"10063","1"
"25225","1"
"12243","1"
"2688","1"
"472","1"
"28186","1"
"11256","1"
"3908","1"
"13463","1"
"16433","2"
"15751","1"
"11265","1"
"1369","1"
"6842","1"
"4294","1"
"3576","1"
"9937","3"
"16944","9"
"2903","1"
"3307","2"
"16298","1"
"3343","2"
"9605","1"
"12530","2"
"4868","1"
"4527","6.666666666666667"
"1100","1"
"16307","1"
"2329","1"
"11543","1.1666666666666667"
"5604","2"
"10897","1"
"463","1.5"
"26311","1"
"13418","1"
"122","2"
"31918","1"
"10565","1"
"6824","1.3333333333333333"
"6079","1"
"10260","1"
"5496","1"
"2069","1"
"1728","1"
"17276","1"
"13508","1"
"5846","1"
"12512","1"
"6160","1"
"5819","1"
"5137","1"
"20237","1"
"2625","1"
"8098","2.5"
"750","1"
"409","1"
"723","2"
"22175","1"
"5586","2"
"12593","1"
"13741","2"
"33300","1"
"3845","1"
"759","1"
"36162","1"
"25584","1"
"11202","1"
"13813","1"
"4913","1"
"10386","1"
"13409","1"
"490","1"
"2697","1"
"25934","1"
"18245","1"
"14477","1"
"6133","2"
"8313","1"
"20838","1"
"11624","1"
"13176","1"
"13490","1"
"5460","1"
"20847","1"
"12162","1"
"5469","1"
"11821","1"
"1387","1"
"27235","1"
"23126","1"
"15778","1"
"13571","1"
"12171","1"
"14037","1"
"1773","1"
"1118","1"
"714","1"
"1055","1"
"373","1"
"22480","1"
"18873","1"
"33605","1"
"6420","1"
"786","1"
"68","3"
"27782","1"
"20407","1"
"481","2.3333333333333335"
"34484","1"
"6402","1"
"35139","1"
"13786","1"
"17052","2"
"149","1"
"5756","1"
"23754","1"
"16747","1"
"15410","1"
"9031","1"
"2087","1"
"1028","1"
"1342","1"
"29738","1"
"3549","1"
"23449","1"
"23108","1"
"3208","1.3333333333333333"
"660","3"
"21681","1"
"6178","1"
"15078","1"
"1755","1"
"3962","1"
"1450","1"
"16953","1"
"7398","1"
"6716","1"
"3630","1"
"7428","1"
"32190","1"
"367","1"
"708","1"
"11519","1"
"11178","2"
"20392","1"
"403","1"
"6755","1"
"62","1"
"27435","2"
"13798","2"
"14453","1"
"6764","1"
"3157","2"
"32271","1"
"15260","1"
"8630","1"
"2682","1.8"
"20814","1"
"32280","1"
"5777","1.5"
"6432","1"
"33805","1"
"7616","1"
"13134","1"
"15682","1"
"6504","2"
"15341","1"
"8056","1"
"5104","1"
"7311","5"
"19154","2"
"14695","1"
"8720","1"
"17620","1"
"7724","1"
"8038","1.5"
"3956","2"
"2556","1"
"7733","1"
"34765","1"
"18176","1"
"14776","1"
"16615","1"
"7060","1"
"771","1"
"9267","2"
"27058","1"
"23003","1"
"16310","1"
"6414","1"
"13080","1"
"5391","1"
"1650","1.3333333333333333"
"20464","1"
"9348","1"
"1318","1"
"977","2"
"16050","1.75"
"1731","1"
"1013","5"
"13663","1"
"16525","1"
"10236","1"
"1399","3"
"7347","1.5"
"1058","1"
"2547","1"
"16938","1"
"10649","1"
"1067","1"
"21774","1"
"21433","1"
"27381","1"
"20033","1"
"17010","1"
"16265","2"
"8917","1"
"80","1"
"5553","1"
"2942","1"
"13412","1"
"22285","1"
"1641","1.3333333333333333"
"2296","1"
"29983","1"
"16687","1"
"16346","1"
"11923","1"
"8316","1"
"1623","1"
"627","1.8666666666666667"
"25255","1"
"17539","1"
"4584","1"
"10191","1"
"19100","1"
"9204","5"
"5131","3"
"5849","1"
"12138","1"
"22949","1"
"19522","1"
"16633","1"
"2996","1"
"5517","1"
"1910","1"
"16669","1"
"16642","1"
"9294","1"
"30378","1"
"4189","1"
"923","2"
"14973","2"
"10514","1"
"10173","1"
"36676","1"
"30046","1"
"457","1"
"932","1"
"34801","1"
"116","1"
"5409","1"
"9375","2"
"2870","1"
"33787","1"
"14336","1"
"12775","1"
"2538","1"
"22904","1"
"19163","1"
"18481","1"
"6181","1"
"32809","1"
"13197","1"
"12856","1"
"5194","2.5"
"4512","1.5"
"7033","1"
"744","1.3333333333333333"
"25192","1"
"13735","1"
"6387","2.3333333333333335"
"3498","1"
"11196","1"
"6459","1"
"107","2.2"
"6055","1"
"6468","1.25"
"7993","1"
"12425","1"
"19091","1"
"18445","1"
"4808","1"
"5804","1"
"4467","1"
"726","1"
"15891","1"
"10257","1"
"9261","1"
"11127","1"
"1545","1"
"17425","1"
"36984","1"
"5161","2"
"20350","2"
"7063","1"
"3860","1.6666666666666667"
"32570","1"
"908","1"
"3088","1"
"24881","1"
"15299","1"
"19381","2"
"13092","1"
"12096","1"
"3196","1"
"2855","1.3333333333333333"
"8669","1"
"4721","1.5"
"33090","1"
"10239","1"
"4075","1"
"4389","1"
"3734","1.5"
"307","1"
"16941","1"
"648","1"
"19121","1"
"18125","7"
"11773","1"
"1877","1"
"13980","2"
"13639","1"
"13298","1"
"15927","1"
"18134","1"
"5152","1"
"20000","2"
"6022","1"
"6031","1.5"
"34741","1"
"27052","1"
"20395","1"
"13074","1"
"3492","1"
"3151","1"
"1617","1"
"4703","1"
"5017","1"
"12401","1"
"13926","3"
"7637","1.3333333333333333"
"33799","1"
"944","1"
"14276","4"
"7987","2"
"7646","2"
"4757","1.5"
"14348","1"
"9925","1"
"5977","1"
"27680","1"
"4461","2"
"7072","2"
"379","1"
"9593","1"
"5645","1"
"1904","1"
"20745","1"
"20377","1"
"14088","1"
"6740","1"
"25554","1"
"12347","1"
"5995","1"
"5654","1"
"1913","1"
"1572","6"
"1231","1"
"13442","1"
"12356","1"
"14904","1"
"1267","1"
"5322","1"
"23006","1"
"6076","1"
"13917","1"
"7628","1"
"1653","1"
"33449","1"
"6946","1"
"7260","1"
"1312","1.2"
"28712","3"
"14985","1.3333333333333333"
"14330","2"
"1321","2"
"666","1"
"6614","4"
"7269","1"
"2532","1"
"17264","3"
"14312","1"
"361","2.193548387096774"
"10230","1"
"334","1"
"675","1"
"23966","2"
"24280","1"
"17273","1"
"12643","1"
"6354","1"
"2","1"
"1213","1"
"21086","1"
"19686","1"
"16600","1"
"19345","2"
"2308","12"
"8229","1"
"7574","1"
"30336","1"
"881","1"
"11531","1.5"
"17479","1"
"2290","1"
"8337","3"
"8310","1"
"10858","2"
"7592","1"
"1958","1.5625"
"1303","4"
"35961","1"
"29017","1"
"962","1"
"24908","1"
"15012","1"
"8346","1"
"7332","1"
"9198","1"
"28039","1"
"8857","1"
"5116","1"
"11064","1"
"19982","1"
"9207","1"
"8211","1"
"2577","1"
"2263","2"
"1922","3"
"27366","1"
"4784","1"
"20736","1"
"8534","1"
"7404","1"
"1590","2"
"29645","1"
"22297","1"
"3770","1.6"
"16322","1"
"15263","1"
"7951","2"
"1599","1"
"29654","1"
"15990","3"
"25545","1"
"30838","1"
"8642","2"
"4533","1"
"9826","2"
"22692","1"
"28640","1"
"23903","1"
"15003","1"
"23158","1"
"3573","1"
"2891","1.3333333333333333"
"2460","1"
"23912","2"
"16564","1"
"15882","1"
"3555","2"
"2559","1"
"1814","1"
"32139","1"
"29528","1"
"23239","1"
"18774","1"
"5","3.4748644548025345"
"9192","1"
"5926","1"
"8133","1"
"29558","1"
"23206","1"
"15517","1"
"9201","1"
"27701","1"
"4464","3"
"14189","1"
"552","1"
"1584","1"
"1521","1.8"
"1180","1"
"3791","1"
"184","13"
"28580","1"
"21205","1"
"5702","1"
"1279","1.375"
"6886","1"
"9093","1"
"2804","3.5"
"28966","1"
"6922","2.3333333333333335"
"13588","3"
"10502","1"
"7236","1"
"1817","1"
"31182","1"
"19070","1"
"2822","1"
"8770","1"
"1799","1"
"4006","1"
"4347","1"
"9524","1"
"9183","1"
"5101","1"
"29890","1"
"21860","1"
"1566","1.5"
"32824","1"
"3028","3"
"31083","1"
"22246","1"
"18101","2"
"15212","1"
"3100","1"
"13884","1"
"14225","1"
"11139","1.3333333333333333"
"1243","2"
"6061","2"
"3450","1"
"28957","1"
"30509","1"
"2768","2"
"17159","1"
"9497","1"
"3181","3.2"
"256","1"
"5388","1.5"
"2777","1.5263157894736843"
"24202","1"
"33757","1"
"16172","1"
"9479","1"
"12027","1"
"3190","1"
"5056","1"
"3997","1"
"26077","1"
"16208","1"
"2885","1.6666666666666667"
"2203","1"
"7810","1"
"13965","1"
"10672","1"
"11426","1"
"4419","1"
"7344","1"
"31765","1.1666666666666667"
"17069","1.1666666666666667"
"25171","1"
"19348","1"
"11973","1"
"10179","1"
"3172","1"
"3513","1"
"8788","1"
"10995","2"
"4024","5"
"283","1"
"624","1"
"6231","1"
"18442","3"
"21645","1"
"11749","1"
"11408","1"
"4778","1"
"30222","1"
"4033","1"
"13624","6"
"3387","1"
"26992","1"
"12637","1.3333333333333333"
"6662","1"
"30769","1"
"11157","1"
"12368","1"
"11964","2"
"3127","1"
"166","1.2916666666666667"
"28562","1"
"8295","1"
"8609","7"
"1602","1.5"
"6868","1"
"26023","1"
"18334","1"
"7622","1"
"13229","1"
"11713","1"
"11776","1"
"12117","3"
"11058","2"
"3683","1"
"12583","1"
"6949","1"
"10385","1"
"3351","3"
"5621","1"
"1135","1"
"26983","1"
"10053","2"
"8923","1"
"8519","2"
"15185","1"
"5289","2"
"20703","1"
"29262","2"
"6043","1"
"8591","1"
"5639","1"
"8564","1"
"35901","1"
"7505","1"
"15607","1"
"8600","1"
"911","2"
"13866","3"
"35632","1"
"1225","2"
"3836","2"
"202","1"
"21250","1"
"9452","1"
"8797","1"
"2445","1.5"
"25404","1"
"20981","1"
"23188","1"
"4733","1.25"
"13947","1"
"7658","1"
"310","1"
"3199","1"
"5884","1"
"26591","1"
"33257","1"
"35805","2"
"9186","1"
"27318","1"
"474","1"
"5310","1"
"5651","1"
"4251","1.3333333333333333"
"7113","1"
"19701","1"
"15215","1"
"151","1"
"1210","1"
"492","1"
"19028","1"
"905","1.6666666666666667"
"564","1.5714285714285714"
"2430","1"
"11689","1"
"16821","1"
"7266","1"
"13214","1"
"12559","2"
"27605","1"
"20912","1"
"11886","1"
"8800","2.3333333333333335"
"15089","1"
"13295","1"
"33661","1"
"33975","1"
"1524","1.5"
"22204","1"
"15197","1"
"5956","1.5"
"14829","1"
"8163","1"
"6826","1"
"851","1"
"32988","1"
"3399","2.3333333333333335"
"9688","1"
"106","1"
"27820","1"
"4969","1"
"887","2"
"7176","1"
"10101","1"
"6808","1"
"2726","1"
"19019","1"
"21199","1"
"7248","1"
"9428","1"
"6503","1"
"15717","1"
"6162","1"
"869","1"
"34217","1"
"28269","1"
"528","1"
"6476","1"
"16471","1"
"25730","1"
"34630","1"
"1407","1"
"20221","1"
"15825","1"
"12532","1"
"2502","1.3333333333333333"
"5902","1"
"8109","2"
"1416","1"
"21782","1"
"7804","1"
"21854","1"
"14506","1"
"11079","2"
"4924","1"
"2708","1"
"21522","2"
"10747","4"
"7858","2"
"3462","1"
"169","1.3333333333333333"
"21594","1"
"24797","1"
"13501","1"
"20508","1"
"7553","2"
"35267","1"
"36792","1"
"22410","1"
"19387","1"
"2484","1.5"
"8405","1"
"10953","1"
"30853","1"
"7750","2"
"31167","1"
"2116","1.5"
"15789","1"
"17996","1"
"1811","1.5"
"2466","1.5"
"2152","1.2857142857142858"
"15861","1"
"21468","1"
"8854","1"
"3345","1"
"24366","1"
"8181","1"
"4413","1"
"2358","1"
"13797","2"
"10460","3"
"7508","2"
"3767","1"
"12640","2"
"12981","1"
"3426","1"
"2744","3"
"30081","1"
"2780","1"
"9042","1"
"11653","1"
"2412","2"
"4960","1"
"36101","1"
"15744","1"
"24958","1"
"17951","1"
"8710","2"
"2107","1"
"3973","2"
"1084","1"
"4287","1"
"16498","1"
"3982","1"
"24725","1"
"18373","1"
"25039","1"
"13950","1"
"4709","1"
"19557","1"
"10998","1"
"2968","1"
"3381","1"
"5588","1"
"12631","1"
"9024","1"
"2735","1"
"4601","3"
"4915","1"
"25281","1"
"5355","1"
"2403","1"
"4269","7"
"12371","1"
"15394","1"
"11626","1"
"32737","1"
"3623","2"
"14587","1"
"6898","1"
"10298","1"
"18741","1"
"20948","2"
"26896","1"
"17341","1"
"9993","2"
"15164","2"
"441","3"
"35126","1"
"3303","1"
"2648","1"
"4855","1"
"10032","1"
"22987","1"
"10346","1"
"3402","1"
"2343","4"
"1320","1"
"25948","1"
"12625","2"
"5618","1"
"2729","1"
"18232","1"
"10884","1"
"11225","1"
"6802","1.5"
"9431","1"
"11979","1"
"2083","1"
"17245","1"
"4290","1"
"31663","1"
"32318","1"
"24629","1"
"11306","1"
"10992","1"
"10310","1"
"10651","1"
"13172","1"
"32327","1"
"23983","1"
"18663","1"
"23956","2"
"16949","1"
"10660","1"
"10974","1"
"31654","1"
"32865","1"
"9305","1"
"5564","4"
"5223","1"
"4505","1"
"22162","1"
"12948","1"
"18214","1"
"5573","2"
"11862","1"
"1966","1"
"29680","1"
"809","1"
"19650","1"
"19964","1"
"19309","1"
"12616","1"
"25571","1"
"25230","1"
"2720","1"
"4900","1"
"22718","1"
"15370","1"
"18295","1"
"20511","1"
"13881","1"
"12481","1.3333333333333333"
"13890","1"
"5205","1"
"8067","1"
"7726","1"
"30308","1"
"18851","1"
"9296","2"
"12221","1"
"20287","1"
"7394","1"
"2675","1"
"8148","1"
"36678","1"
"13441","1"
"18591","1"
"7843","1"
"5295","2"
"3895","1"
"24109","1"
"127","1"
"468","2"
"14204","1"
"5304","1"
"7511","1"
"6488","1"
"7143","1"
"199","1"
"2747","1"
"27195","1"
"20565","1"
"26827","1.3333333333333333"
"6838","1"
"5501","1"
"12517","1"
"5510","1"
"1428","1"
"4828","1.3333333333333333"
"18035","1"
"28738","1"
"22449","1"
"12867","1"
"6578","2"
"14078","1"
"7385","1"
"4837","1"
"1096","1"
"414","8"
"21435","2"
"8112","3"
"1482","1"
"82","1"
"27482","2"
"14841","2"
"7152","1"
"522","2"
"16025","1"
"21857","1"
"20116","1"
"10086","1"
"16043","1"
"8417","5"
"8354","1"
"1383","1"
"2038","1.5"
"14715","2"
"737","1"
"29447","1"
"15442","1"
"9960","1"
"36122","1"
"10373","1"
"1473","1"
"29994","1"
"10723","1"
"17075","1"
"16330","1"
"2352","1"
"30380","1"
"15998","1"
"9027","1"
"4227","2"
"29707","1"
"34911","1"
"26002","1"
"23454","1"
"11683","1"
"9135","1"
"10597","1"
"8390","1"
"7708","1"
"1760","1"
"1419","1"
"23992","1"
"15433","1"
"7744","1"
"1114","1"
"9951","1"
"3321","2"
"28041","1"
"25493","1"
"18145","1"
"11856","1"
"14377","1"
"4481","1"
"7029","1"
"6374","1"
"6033","1"
"399","1"
"58","1"
"19554","1"
"21420","1"
"11524","1"
"8097","2"
"15597","1"
"9308","2"
"28122","1"
"22640","1"
"13803","1"
"8976","1"
"6087","1"
"2032","2"
"1628","1"
"2346","1"
"26453","1"
"22308","1"
"9048","1"
"9703","1"
"5782","1"
"8644","1"
"2014","1"
"29010","1"
"13166","1"
"8716","1"
"10923","1"
"1027","1"
"1682","2.5"
"623","2"
"2893","1"
"381","1"
"7325","2"
"22120","1"
"13713","1"
"7424","1"
"1108","1"
"35452","2"
"2660","1.1666666666666667"
"11470","1"
"24336","1"
"14781","1"
"23681","2"
"20729","1"
"10331","1.5"
"3010","10"
"2983","1"
"1924","1"
"6419","2"
"17840","1"
"2651","1"
"4203","1"
"2310","1"
"29306","1"
"13121","2"
"1691","1"
"11219","3"
"10564","1"
"1350","2"
"3189","1"
"16082","1.3333333333333333"
"14341","1"
"21662","1"
"1736","1"
"677","1"
"336","1"
"17589","2"
"1745","1"
"9900","1"
"2956","2.3333333333333335"
"3270","1"
"2211","1"
"3620","2"
"9254","1"
"6706","1"
"9227","3"
"13","69.74079630956646"
"2220","2"
"2938","1"
"36968","1"
"23645","1"
"19222","1"
"10008","1"
"25170","1"
"9981","1"
"4499","1"
"9676","1"
"11883","1"
"5253","1"
"11542","1"
"5567","1"
"4167","3"
"9003","1"
"24605","1"
"2068","1"
"4275","1"
"10196","1"
"3907","1"
"6114","2"
"28014","1"
"26139","1"
"4786","1.6666666666666667"
"30634","1"
"17652","1"
"20200","1"
"23259","1"
"2615","1"
"372","1"
"3342","2"
"5863","1"
"4867","1"
"4122","1"
"22281","1"
"11910","1"
"20406","1"
"32186","1"
"2364","1"
"4571","3"
"10178","1"
"4544","1"
"31262","1"
"16880","1"
"13139","1"
"3898","1"
"5764","1"
"2875","1"
"1341","1"
"27189","1"
"12807","1"
"19159","1"
"12125","1"
"6491","1"
"2911","4"
"1009","2"
"32805","2"
"5190","1"
"1897","1"
"12888","1"
"19177","2"
"18181","1.6666666666666667"
"11461","1"
"1431","2"
"8438","1.1111111111111112"
"4517","1"
"6724","5"
"18908","1"
"6733","1"
"28167","1"
"27485","1"
"17930","1"
"23878","1"
"13507","2"
"20110","1"
"12448","1"
"14171","1"
"23071","1"
"15382","1"
"2059","1"
"7666","1"
"318","1"
"22739","1"
"16575","2"
"19503","2"
"12469","1"
"9266","2"
"2573","1"
"698","1"
"4439","1"
"26519","1"
"25119","1"
"17457","1.5"
"11168","2"
"7059","1"
"32566","1"
"3111","1"
"16318","1"
"24473","1"
"18184","2"
"36998","1"
"4206","1"
